0,66.142,-44.344,-21.798
0.00052083,67.402,-33.599,-33.803
0.0010417,66.071,-21.547,-44.524
0.0015625,62.201,-8.6737,-53.527
0.0020833,55.941,4.5314,-60.473
0.0026042,47.532,17.56,-65.092
0.003125,37.297,29.911,-67.208
0.0036458,25.629,41.11,-66.74
0.0041667,12.977,50.728,-63.704
0.0046875,-0.17412,58.393,-58.219
0.0052083,-13.318,63.812,-50.494
0.0057292,-25.949,66.777,-40.827
0.00625,-37.583,67.172,-29.59
0.0067708,-47.772,64.985,-17.213
0.0072917,-56.125,60.297,-4.1725
0.0078125,-62.32,53.29,9.03
0.0083333,-66.12,44.233,21.887
0.0088542,-67.379,33.473,33.906
0.009375,-66.048,21.425,44.623
0.0098958,-62.178,8.551,53.627
0.010417,-55.918,-4.6539,60.572
0.010937,-47.509,-17.682,65.192
0.011458,-37.274,-30.034,67.308
0.011979,-25.606,-41.233,66.839
0.0125,-12.954,-50.85,63.804
0.013021,0.19719,-58.515,58.318
0.013542,13.341,-63.934,50.594
0.014063,25.972,-66.899,40.927
0.014583,37.606,-67.295,29.689
0.015104,47.795,-65.107,17.312
0.015625,56.148,-60.419,4.2717
0.016146,62.343,-53.412,-8.9309
0.016667,66.143,-44.355,-21.788
0.017188,67.402,-33.595,-33.807
0.017708,66.071,-21.547,-44.524
0.018229,62.201,-8.6729,-53.528
0.01875,55.941,4.5321,-60.473
0.019271,47.532,17.561,-65.093
0.019792,37.297,29.912,-67.209
0.020313,25.629,41.111,-66.74
0.020833,12.976,50.728,-63.705
0.021354,-0.17425,58.394,-58.22
0.021875,-13.318,63.813,-50.495
0.022396,-25.949,66.777,-40.828
0.022917,-37.583,67.173,-29.59
0.023438,-47.772,64.985,-17.213
0.023958,-56.125,60.298,-4.1731
0.024479,-62.32,53.291,9.0294
0.025,-66.12,44.233,21.887
0.025521,-67.379,33.474,33.905
0.026042,-66.048,21.426,44.622
0.026562,-62.178,8.5517,53.626
0.027083,-55.918,-4.6532,60.572
0.027604,-47.509,-17.682,65.191
0.028125,-37.274,-30.033,67.307
0.028646,-25.606,-41.232,66.838
0.029167,-12.954,-50.849,63.803
0.029687,0.19705,-58.515,58.318
0.030208,13.341,-63.934,50.593
0.030729,25.972,-66.898,40.926
0.03125,37.606,-67.294,29.688
0.031771,47.795,-65.106,17.311
0.032292,56.147,-60.418,4.2711
0.032813,62.343,-53.411,-8.9315
0.033333,66.143,-44.354,-21.789
0.033854,67.402,-33.594,-33.807
0.034375,66.07,-21.546,-44.524
0.034896,62.201,-8.6721,-53.529
0.035417,55.941,4.5328,-60.474
0.035937,47.532,17.561,-65.093
0.036458,37.297,29.912,-67.209
0.036979,25.629,41.112,-66.741
0.0375,12.976,50.729,-63.705
0.038021,-0.17439,58.395,-58.22
0.038542,-13.318,63.814,-50.496
0.039063,-25.949,66.778,-40.829
0.039583,-37.583,67.174,-29.591
0.040104,-47.772,64.986,-17.214
0.040625,-56.125,60.299,-4.1737
0.041146,-62.32,53.291,9.0288
0.041667,-66.12,44.234,21.886
0.042188,-67.379,33.475,33.904
0.042708,-66.048,21.426,44.621
0.043229,-62.178,8.5524,53.626
0.04375,-55.918,-4.6525,60.571
0.044271,-47.51,-17.681,65.19
0.044792,-37.274,-30.032,67.306
0.045312,-25.606,-41.231,66.838
0.045833,-12.954,-50.849,63.802
0.046354,0.19691,-58.514,58.317
0.046875,13.341,-63.933,50.593
0.047396,25.972,-66.897,40.926
0.047917,37.606,-67.293,29.688
0.048438,47.795,-65.105,17.311
0.048958,56.147,-60.418,4.2705
0.049479,62.343,-53.411,-8.9321
0.05,66.143,-44.353,-21.79
0.050521,67.401,-33.594,-33.808
0.051042,66.07,-21.545,-44.525
0.051562,62.201,-8.6714,-53.529
0.052083,55.941,4.5335,-60.474
0.052604,47.532,17.562,-65.094
0.053125,37.297,29.913,-67.21
0.053646,25.629,41.113,-66.741
0.054167,12.976,50.73,-63.706
0.054688,-0.17453,58.395,-58.221
0.055208,-13.318,63.814,-50.496
0.055729,-25.95,66.779,-40.829
0.05625,-37.583,67.175,-29.591
0.056771,-47.772,64.987,-17.215
0.057292,-56.125,60.299,-4.1743
0.057812,-62.32,53.292,9.0282
0.058333,-66.12,44.235,21.886
0.058854,-67.379,33.475,33.904
0.059375,-66.048,21.427,44.621
0.059896,-62.178,8.5531,53.625
0.060417,-55.919,-4.6518,60.57
0.060937,-47.51,-17.68,65.19
0.061458,-37.274,-30.031,67.306
0.061979,-25.606,-41.231,66.837
0.0625,-12.954,-50.848,63.802
0.063021,0.19678,-58.513,58.317
0.063542,13.34,-63.932,50.592
0.064062,25.972,-66.897,40.925
0.064583,37.605,-67.293,29.687
0.065104,47.794,-65.105,17.31
0.065625,56.147,-60.417,4.2699
0.066146,62.343,-53.41,-8.9327
0.066667,66.143,-44.353,-21.79
0.067187,67.401,-33.593,-33.808
0.067708,66.07,-21.545,-44.525
0.068229,62.2,-8.6707,-53.53
0.06875,55.941,4.5342,-60.475
0.069271,47.532,17.563,-65.094
0.069792,37.297,29.914,-67.211
0.070313,25.629,41.113,-66.742
